CMDLINE .\electron-counter-app.exe
MEM 3.335938 1660495412.7654
MEM 40.562500 1660495412.8764
MEM 87.558594 1660495412.9881
CHLD 0 20.718750 1660495412.9911
MEM 87.558594 1660495413.0981
CHLD 0 20.718750 1660495413.1012
MEM 87.558594 1660495413.2052
CHLD 0 20.718750 1660495413.2082
MEM 87.558594 1660495413.3171
CHLD 0 20.718750 1660495413.3201
MEM 87.558594 1660495413.4261
CHLD 0 20.718750 1660495413.4291
MEM 87.558594 1660495413.5371
CHLD 0 20.718750 1660495413.5401
MEM 206.207031 1660495413.6483
CHLD 0 29.945312 1660495413.6543
CHLD 1 40.851562 1660495413.6543
CHLD 2 40.988281 1660495413.6543
CHLD 3 35.750000 1660495413.6543
MEM 261.398438 1660495413.7727
CHLD 0 44.574219 1660495413.7767
CHLD 1 40.878906 1660495413.7767
CHLD 2 57.144531 1660495413.7767
CHLD 3 52.140625 1660495413.7767
MEM 333.660156 1660495413.8817
CHLD 0 95.500000 1660495413.8857
CHLD 1 40.878906 1660495413.8857
CHLD 2 63.066406 1660495413.8857
CHLD 3 63.375000 1660495413.8857
MEM 356.722656 1660495414.0047
CHLD 0 97.789062 1660495414.0087
CHLD 1 40.878906 1660495414.0087
CHLD 2 63.160156 1660495414.0087
CHLD 3 83.160156 1660495414.0087
MEM 382.421875 1660495414.1180
CHLD 0 107.816406 1660495414.1219
CHLD 1 40.878906 1660495414.1219
CHLD 2 65.378906 1660495414.1219
CHLD 3 95.929688 1660495414.1219
MEM 400.835938 1660495414.2406
CHLD 0 120.359375 1660495414.2439
CHLD 1 40.878906 1660495414.2439
CHLD 2 66.472656 1660495414.2439
CHLD 3 100.351562 1660495414.2439
MEM 407.703125 1660495414.3489
CHLD 0 126.003906 1660495414.3519
CHLD 1 40.878906 1660495414.3519
CHLD 2 66.472656 1660495414.3519
CHLD 3 101.382812 1660495414.3519
MEM 410.765625 1660495414.4602
CHLD 0 126.828125 1660495414.4642
CHLD 1 40.878906 1660495414.4642
CHLD 2 66.472656 1660495414.4642
CHLD 3 103.582031 1660495414.4642
MEM 410.769531 1660495414.5874
CHLD 0 126.828125 1660495414.5914
CHLD 1 40.878906 1660495414.5914
CHLD 2 66.472656 1660495414.5914
CHLD 3 103.585938 1660495414.5914
MEM 410.769531 1660495414.7095
CHLD 0 126.828125 1660495414.7125
CHLD 1 40.878906 1660495414.7125
CHLD 2 66.472656 1660495414.7125
CHLD 3 103.585938 1660495414.7125
MEM 410.804688 1660495414.8337
CHLD 0 126.828125 1660495414.8377
CHLD 1 40.878906 1660495414.8377
CHLD 2 66.484375 1660495414.8377
CHLD 3 103.601562 1660495414.8377
MEM 410.804688 1660495414.9579
CHLD 0 126.828125 1660495414.9609
CHLD 1 40.878906 1660495414.9609
CHLD 2 66.484375 1660495414.9619
CHLD 3 103.601562 1660495414.9619
MEM 408.820312 1660495415.0777
CHLD 0 125.835938 1660495415.0807
CHLD 1 40.878906 1660495415.0807
CHLD 2 66.484375 1660495415.0807
CHLD 3 103.601562 1660495415.0807
MEM 408.824219 1660495415.1875
CHLD 0 125.835938 1660495415.1925
CHLD 1 40.878906 1660495415.1925
CHLD 2 66.484375 1660495415.1925
CHLD 3 103.601562 1660495415.1925
MEM 408.824219 1660495415.3019
CHLD 0 125.835938 1660495415.3059
CHLD 1 40.878906 1660495415.3059
CHLD 2 66.484375 1660495415.3059
CHLD 3 103.601562 1660495415.3059
MEM 408.824219 1660495415.4269
CHLD 0 125.835938 1660495415.4323
CHLD 1 40.878906 1660495415.4323
CHLD 2 66.484375 1660495415.4323
CHLD 3 103.601562 1660495415.4323
MEM 408.832031 1660495415.5493
CHLD 0 125.835938 1660495415.5543
CHLD 1 40.878906 1660495415.5543
CHLD 2 66.484375 1660495415.5543
CHLD 3 103.609375 1660495415.5543
MEM 408.226562 1660495415.6740
CHLD 0 125.835938 1660495415.6780
CHLD 1 40.878906 1660495415.6780
CHLD 2 65.878906 1660495415.6780
CHLD 3 103.609375 1660495415.6780
MEM 407.968750 1660495415.7941
CHLD 0 125.835938 1660495415.7971
CHLD 1 40.878906 1660495415.7971
CHLD 2 65.878906 1660495415.7971
CHLD 3 103.351562 1660495415.7971
MEM 406.246094 1660495415.9188
CHLD 0 124.765625 1660495415.9218
CHLD 1 40.878906 1660495415.9218
CHLD 2 65.542969 1660495415.9218
CHLD 3 103.035156 1660495415.9218
MEM 406.246094 1660495416.0452
CHLD 0 124.765625 1660495416.0492
CHLD 1 40.878906 1660495416.0492
CHLD 2 65.542969 1660495416.0492
CHLD 3 103.035156 1660495416.0492
MEM 406.246094 1660495416.1707
CHLD 0 124.765625 1660495416.1737
CHLD 1 40.878906 1660495416.1737
CHLD 2 65.542969 1660495416.1737
CHLD 3 103.035156 1660495416.1737
MEM 406.246094 1660495416.2931
CHLD 0 124.765625 1660495416.2971
CHLD 1 40.878906 1660495416.2971
CHLD 2 65.542969 1660495416.2971
CHLD 3 103.035156 1660495416.2971
MEM 406.246094 1660495416.4157
CHLD 0 124.765625 1660495416.4187
CHLD 1 40.878906 1660495416.4187
CHLD 2 65.542969 1660495416.4187
CHLD 3 103.035156 1660495416.4187
MEM 406.246094 1660495416.5382
CHLD 0 124.765625 1660495416.5412
CHLD 1 40.878906 1660495416.5412
CHLD 2 65.542969 1660495416.5412
CHLD 3 103.035156 1660495416.5412
MEM 406.246094 1660495416.6607
CHLD 0 124.765625 1660495416.6637
CHLD 1 40.878906 1660495416.6637
CHLD 2 65.542969 1660495416.6637
CHLD 3 103.035156 1660495416.6637
MEM 406.246094 1660495416.7886
CHLD 0 124.765625 1660495416.7926
CHLD 1 40.878906 1660495416.7926
CHLD 2 65.542969 1660495416.7926
CHLD 3 103.035156 1660495416.7926
MEM 405.988281 1660495416.9119
CHLD 0 124.753906 1660495416.9159
CHLD 1 40.878906 1660495416.9159
CHLD 2 65.542969 1660495416.9159
CHLD 3 103.035156 1660495416.9159
MEM 405.988281 1660495417.0306
CHLD 0 124.753906 1660495417.0338
CHLD 1 40.878906 1660495417.0338
CHLD 2 65.542969 1660495417.0338
CHLD 3 103.035156 1660495417.0338
MEM 405.988281 1660495417.1450
CHLD 0 124.753906 1660495417.1490
CHLD 1 40.878906 1660495417.1490
CHLD 2 65.542969 1660495417.1490
CHLD 3 103.035156 1660495417.1490
MEM 405.988281 1660495417.2650
CHLD 0 124.753906 1660495417.2690
CHLD 1 40.878906 1660495417.2690
CHLD 2 65.542969 1660495417.2690
CHLD 3 103.035156 1660495417.2690
MEM 405.988281 1660495417.3750
CHLD 0 124.753906 1660495417.3789
CHLD 1 40.878906 1660495417.3789
CHLD 2 65.542969 1660495417.3789
CHLD 3 103.035156 1660495417.3789
MEM 405.988281 1660495417.4858
CHLD 0 124.753906 1660495417.4888
CHLD 1 40.878906 1660495417.4888
CHLD 2 65.542969 1660495417.4888
CHLD 3 103.035156 1660495417.4888
MEM 406.031250 1660495417.5949
CHLD 0 124.816406 1660495417.5979
CHLD 1 40.878906 1660495417.5979
CHLD 2 65.542969 1660495417.5979
CHLD 3 103.308594 1660495417.5979
MEM 408.179688 1660495417.7045
CHLD 0 125.667969 1660495417.7095
CHLD 1 40.828125 1660495417.7095
CHLD 2 67.171875 1660495417.7095
CHLD 3 102.335938 1660495417.7095
MEM 409.820312 1660495417.8322
CHLD 0 126.683594 1660495417.8363
CHLD 1 40.828125 1660495417.8363
CHLD 2 68.402344 1660495417.8363
CHLD 3 101.945312 1660495417.8363
MEM 409.871094 1660495417.9559
CHLD 0 126.683594 1660495417.9589
CHLD 1 40.828125 1660495417.9589
CHLD 2 68.402344 1660495417.9589
CHLD 3 101.996094 1660495417.9589
MEM 409.871094 1660495418.0819
CHLD 0 126.683594 1660495418.0859
CHLD 1 40.828125 1660495418.0859
CHLD 2 68.402344 1660495418.0859
CHLD 3 101.996094 1660495418.0859
MEM 410.031250 1660495418.2046
CHLD 0 126.804688 1660495418.2116
CHLD 1 40.828125 1660495418.2116
CHLD 2 68.402344 1660495418.2116
CHLD 3 103.277344 1660495418.2116
MEM 311.234375 1660495418.3220
CHLD 0 127.957031 1660495418.3250
CHLD 1 40.832031 1660495418.3250
CHLD 2 69.078125 1660495418.3250
MEM 311.234375 1660495418.4385
CHLD 0 127.957031 1660495418.4425
CHLD 1 40.832031 1660495418.4425
CHLD 2 69.078125 1660495418.4425
MEM 311.320312 1660495418.5579
CHLD 0 127.957031 1660495418.5618
CHLD 1 40.832031 1660495418.5618
CHLD 2 69.179688 1660495418.5618
MEM 311.546875 1660495418.6677
CHLD 0 127.957031 1660495418.6707
CHLD 1 40.832031 1660495418.6707
CHLD 2 69.394531 1660495418.6707
MEM 311.730469 1660495418.7789
CHLD 0 128.019531 1660495418.7818
CHLD 1 40.832031 1660495418.7818
