CMDLINE .\tauri-counter-app.exe
MEM 1.535156 1660495618.1266
MEM 32.054688 1660495618.2406
CHLD 0 9.046875 1660495618.2446
CHLD 1 7.222656 1660495618.2446
MEM 110.957031 1660495618.3506
CHLD 0 64.996094 1660495618.3556
CHLD 1 7.480469 1660495618.3556
CHLD 2 10.937500 1660495618.3556
CHLD 3 6.726562 1660495618.3556
CHLD 4 6.675781 1660495618.3556
MEM 222.980469 1660495618.4749
CHLD 0 84.371094 1660495618.4789
CHLD 1 7.484375 1660495618.4789
CHLD 2 25.464844 1660495618.4789
CHLD 3 24.281250 1660495618.4799
CHLD 4 17.707031 1660495618.4799
CHLD 5 47.375000 1660495618.4799
MEM 292.324219 1660495618.5859
CHLD 0 90.406250 1660495618.5899
CHLD 1 7.484375 1660495618.5899
CHLD 2 70.605469 1660495618.5899
CHLD 3 25.480469 1660495618.5899
CHLD 4 18.160156 1660495618.5899
CHLD 5 62.535156 1660495618.5899
MEM 307.367188 1660495618.7115
CHLD 0 90.535156 1660495618.7155
CHLD 1 7.484375 1660495618.7155
CHLD 2 83.957031 1660495618.7155
CHLD 3 25.480469 1660495618.7155
CHLD 4 18.160156 1660495618.7155
CHLD 5 62.574219 1660495618.7155
MEM 307.414062 1660495618.8328
CHLD 0 90.535156 1660495618.8365
CHLD 1 7.484375 1660495618.8365
CHLD 2 83.957031 1660495618.8365
CHLD 3 25.523438 1660495618.8365
CHLD 4 18.160156 1660495618.8365
CHLD 5 62.578125 1660495618.8365
MEM 307.417969 1660495618.9421
CHLD 0 90.539062 1660495618.9451
CHLD 1 7.484375 1660495618.9451
CHLD 2 83.957031 1660495618.9451
CHLD 3 25.523438 1660495618.9451
CHLD 4 18.160156 1660495618.9451
CHLD 5 62.578125 1660495618.9451
MEM 307.417969 1660495619.0548
CHLD 0 90.539062 1660495619.0578
CHLD 1 7.484375 1660495619.0578
CHLD 2 83.957031 1660495619.0578
CHLD 3 25.523438 1660495619.0578
CHLD 4 18.160156 1660495619.0578
CHLD 5 62.578125 1660495619.0578
MEM 307.417969 1660495619.1630
CHLD 0 90.539062 1660495619.1660
CHLD 1 7.484375 1660495619.1660
CHLD 2 83.957031 1660495619.1660
CHLD 3 25.523438 1660495619.1660
CHLD 4 18.160156 1660495619.1660
CHLD 5 62.578125 1660495619.1660
MEM 307.417969 1660495619.2733
CHLD 0 90.539062 1660495619.2770
CHLD 1 7.484375 1660495619.2770
CHLD 2 83.957031 1660495619.2770
CHLD 3 25.523438 1660495619.2770
CHLD 4 18.160156 1660495619.2770
CHLD 5 62.578125 1660495619.2770
MEM 307.312500 1660495619.3994
CHLD 0 90.433594 1660495619.4034
CHLD 1 7.484375 1660495619.4034
CHLD 2 83.957031 1660495619.4034
CHLD 3 25.523438 1660495619.4034
CHLD 4 18.160156 1660495619.4034
CHLD 5 62.578125 1660495619.4034
MEM 307.148438 1660495619.5252
CHLD 0 90.476562 1660495619.5292
CHLD 1 7.484375 1660495619.5292
CHLD 2 83.691406 1660495619.5292
CHLD 3 25.523438 1660495619.5292
CHLD 4 18.160156 1660495619.5292
CHLD 5 62.636719 1660495619.5292
MEM 307.167969 1660495619.6493
CHLD 0 90.476562 1660495619.6533
CHLD 1 7.484375 1660495619.6533
CHLD 2 83.691406 1660495619.6533
CHLD 3 25.523438 1660495619.6533
CHLD 4 18.160156 1660495619.6533
CHLD 5 62.656250 1660495619.6533
MEM 307.167969 1660495619.7741
CHLD 0 90.476562 1660495619.7791
CHLD 1 7.484375 1660495619.7791
CHLD 2 83.691406 1660495619.7791
CHLD 3 25.523438 1660495619.7791
CHLD 4 18.160156 1660495619.7791
CHLD 5 62.656250 1660495619.7791
MEM 307.167969 1660495619.8983
CHLD 0 90.476562 1660495619.9023
CHLD 1 7.484375 1660495619.9023
CHLD 2 83.691406 1660495619.9023
CHLD 3 25.523438 1660495619.9023
CHLD 4 18.160156 1660495619.9023
CHLD 5 62.656250 1660495619.9023
MEM 307.167969 1660495620.0228
